./data
./data
./data
./data
./data
./data
./data
./data
./data
./data
==> load train data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
==> load test data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
rank: 8, epoch: 0.000, loss: 0.048, train_acc: 98.293, val_acc: 100.000, comp time: 0.914, epoch time: 1.173
rank: 6, epoch: 0.000, loss: 0.044, train_acc: 98.293, val_acc: 100.000, comp time: 0.916, epoch time: 1.174
rank: 9, epoch: 0.000, loss: 0.047, train_acc: 98.293, val_acc: 100.000, comp time: 0.932, epoch time: 1.190
rank: 2, epoch: 0.000, loss: 0.041, train_acc: 99.920, val_acc: 100.000, comp time: 0.914, epoch time: 1.173
rank: 5, epoch: 0.000, loss: 0.045, train_acc: 98.293, val_acc: 100.000, comp time: 0.950, epoch time: 1.207
rank: 4, epoch: 0.000, loss: 0.046, train_acc: 98.293, val_acc: 100.000, comp time: 0.938, epoch time: 1.196
rank: 7, epoch: 0.000, loss: 0.043, train_acc: 98.293, val_acc: 100.000, comp time: 0.914, epoch time: 1.171
rank: 0, epoch: 0.000, loss: 0.043, train_acc: 98.293, val_acc: 100.000, comp time: 0.933, epoch time: 1.192
rank: 1, epoch: 0.000, loss: 0.042, train_acc: 98.293, val_acc: 100.000, comp time: 0.961, epoch time: 1.218
rank: 3, epoch: 0.000, loss: 0.047, train_acc: 98.293, val_acc: 100.000, comp time: 0.924, epoch time: 1.182
rank: 6, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.833
rank: 8, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.569, epoch time: 0.824
rank: 2, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.832
rank: 4, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.584, epoch time: 0.839
rank: 3, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.582, epoch time: 0.838
rank: 7, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.579, epoch time: 0.835
rank: 0, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.577, epoch time: 0.833
rank: 9, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.575, epoch time: 0.830
rank: 5, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.586, epoch time: 0.841
rank: 1, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.596, epoch time: 0.852
rank: 8, epoch: 2.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.565, epoch time: 0.817
rank: 3, epoch: 2.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.580, epoch time: 0.831
rank: 6, epoch: 2.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.572, epoch time: 0.823
rank: 2, epoch: 2.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.825
rank: 5, epoch: 2.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.580, epoch time: 0.831
rank: 9, epoch: 2.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.569, epoch time: 0.821
rank: 7, epoch: 2.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.572, epoch time: 0.823
rank: 4, epoch: 2.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.580, epoch time: 0.831
rank: 1, epoch: 2.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.590, epoch time: 0.841
rank: 0, epoch: 2.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.825
rank: 6, epoch: 3.000, loss: 0.003, train_acc: 100.000, val_acc: 100.000, comp time: 0.574, epoch time: 0.830
rank: 8, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.566, epoch time: 0.822
rank: 2, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.571, epoch time: 0.828
rank: 9, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.570, epoch time: 0.826
rank: 5, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.581, epoch time: 0.837
rank: 3, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.579, epoch time: 0.836
rank: 4, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.579, epoch time: 0.835
rank: 7, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.571, epoch time: 0.827
rank: 0, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.570, epoch time: 0.827
rank: 1, epoch: 3.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.592, epoch time: 0.849
rank: 8, epoch: 4.000, loss: 0.003, train_acc: 100.000, val_acc: 100.000, comp time: 0.565, epoch time: 0.820
rank: 6, epoch: 4.000, loss: 0.003, train_acc: 100.000, val_acc: 100.000, comp time: 0.574, epoch time: 0.828
rank: 2, epoch: 4.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.827
rank: 5, epoch: 4.000, loss: 0.003, train_acc: 100.000, val_acc: 100.000, comp time: 0.580, epoch time: 0.834
rank: 7, epoch: 4.000, loss: 0.003, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.828
rank: 3, epoch: 4.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.576, epoch time: 0.831
rank: 9, epoch: 4.000, loss: 0.003, train_acc: 100.000, val_acc: 100.000, comp time: 0.570, epoch time: 0.825
rank: 4, epoch: 4.000, loss: 0.003, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.833
rank: 0, epoch: 4.000, loss: 0.003, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.828
rank: 1, epoch: 4.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.592, epoch time: 0.847
rank: 8, epoch: 5.000, loss: 0.251, train_acc: 96.373, val_acc: 100.000, comp time: 0.564, epoch time: 0.816
rank: 9, epoch: 5.000, loss: 0.471, train_acc: 96.613, val_acc: 100.000, comp time: 0.568, epoch time: 0.820
rank: 3, epoch: 5.000, loss: 0.136, train_acc: 98.240, val_acc: 100.000, comp time: 0.577, epoch time: 0.829
rank: 2, epoch: 5.000, loss: 0.050, train_acc: 96.667, val_acc: 100.000, comp time: 0.572, epoch time: 0.825
rank: 6, epoch: 5.000, loss: 0.079, train_acc: 97.893, val_acc: 65.840, comp time: 0.573, epoch time: 0.825
rank: 7, epoch: 5.000, loss: 0.249, train_acc: 98.293, val_acc: 96.880, comp time: 0.572, epoch time: 0.824
rank: 5, epoch: 5.000, loss: 0.129, train_acc: 98.267, val_acc: 100.000, comp time: 0.579, epoch time: 0.831
rank: 0, epoch: 5.000, loss: 0.165, train_acc: 96.480, val_acc: 100.000, comp time: 0.572, epoch time: 0.824
rank: 1, epoch: 5.000, loss: 0.263, train_acc: 98.293, val_acc: 100.000, comp time: 0.591, epoch time: 0.843
rank: 4, epoch: 5.000, loss: 0.086, train_acc: 98.293, val_acc: 100.000, comp time: 0.576, epoch time: 0.828
rank: 8, epoch: 6.000, loss: 0.008, train_acc: 100.000, val_acc: 100.000, comp time: 0.564, epoch time: 0.817
rank: 4, epoch: 6.000, loss: 0.010, train_acc: 100.000, val_acc: 100.000, comp time: 0.575, epoch time: 0.828
rank: 9, epoch: 6.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.569, epoch time: 0.823
rank: 6, epoch: 6.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.571, epoch time: 0.823
rank: 2, epoch: 6.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.570, epoch time: 0.822
rank: 5, epoch: 6.000, loss: 0.010, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.832
rank: 3, epoch: 6.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.832
rank: 7, epoch: 6.000, loss: 0.007, train_acc: 100.000, val_acc: 100.000, comp time: 0.570, epoch time: 0.823
rank: 0, epoch: 6.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.570, epoch time: 0.822
rank: 1, epoch: 6.000, loss: 0.008, train_acc: 100.000, val_acc: 100.000, comp time: 0.590, epoch time: 0.844
rank: 8, epoch: 7.000, loss: 0.004, train_acc: 100.000, val_acc: 61.280, comp time: 0.564, epoch time: 0.817
rank: 6, epoch: 7.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.574, epoch time: 0.827
rank: 3, epoch: 7.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.831
rank: 2, epoch: 7.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.572, epoch time: 0.825
rank: 4, epoch: 7.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.577, epoch time: 0.830
rank: 0, epoch: 7.000, loss: 0.004, train_acc: 100.000, val_acc: 100.000, comp time: 0.570, epoch time: 0.823
rank: 7, epoch: 7.000, loss: 0.007, train_acc: 100.000, val_acc: 100.000, comp time: 0.571, epoch time: 0.824
rank: 9, epoch: 7.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.569, epoch time: 0.822
rank: 5, epoch: 7.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.581, epoch time: 0.834
rank: 1, epoch: 7.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.593, epoch time: 0.846
rank: 8, epoch: 8.000, loss: 0.203, train_acc: 98.240, val_acc: 99.920, comp time: 0.566, epoch time: 0.824
rank: 9, epoch: 8.000, loss: 0.085, train_acc: 98.427, val_acc: 100.000, comp time: 0.570, epoch time: 0.828
rank: 6, epoch: 8.000, loss: 0.252, train_acc: 96.827, val_acc: 100.000, comp time: 0.571, epoch time: 0.828
rank: 2, epoch: 8.000, loss: 0.042, train_acc: 98.293, val_acc: 100.000, comp time: 0.572, epoch time: 0.829
rank: 3, epoch: 8.000, loss: 0.029, train_acc: 99.280, val_acc: 100.000, comp time: 0.580, epoch time: 0.837
rank: 7, epoch: 8.000, loss: 0.315, train_acc: 98.293, val_acc: 100.000, comp time: 0.571, epoch time: 0.828
rank: 5, epoch: 8.000, loss: 0.266, train_acc: 96.533, val_acc: 100.000, comp time: 0.580, epoch time: 0.837
rank: 4, epoch: 8.000, loss: 0.153, train_acc: 98.107, val_acc: 100.000, comp time: 0.576, epoch time: 0.833
rank: 0, epoch: 8.000, loss: 0.064, train_acc: 96.960, val_acc: 100.000, comp time: 0.573, epoch time: 0.831
rank: 1, epoch: 8.000, loss: 0.320, train_acc: 97.707, val_acc: 100.000, comp time: 0.590, epoch time: 0.847
rank: 8, epoch: 9.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.564, epoch time: 0.817
rank: 2, epoch: 9.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.574, epoch time: 0.827
rank: 6, epoch: 9.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.826
rank: 4, epoch: 9.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.579, epoch time: 0.832
rank: 7, epoch: 9.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.576, epoch time: 0.829
rank: 3, epoch: 9.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.572, epoch time: 0.824
rank: 0, epoch: 9.000, loss: 0.007, train_acc: 100.000, val_acc: 100.000, comp time: 0.571, epoch time: 0.825
rank: 9, epoch: 9.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.571, epoch time: 0.823
rank: 5, epoch: 9.000, loss: 0.008, train_acc: 100.000, val_acc: 100.000, comp time: 0.579, epoch time: 0.831
rank: 1, epoch: 9.000, loss: 0.009, train_acc: 100.000, val_acc: 100.000, comp time: 0.589, epoch time: 0.842
rank: 8, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.563, epoch time: 0.816
rank: 4, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.831
rank: 6, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.826
rank: 2, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.572, epoch time: 0.825
rank: 7, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 99.840, comp time: 0.573, epoch time: 0.826
rank: 3, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.576, epoch time: 0.829
rank: 9, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.569, epoch time: 0.822
rank: 0, epoch: 10.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.571, epoch time: 0.824
rank: 5, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.831
rank: 1, epoch: 10.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.589, epoch time: 0.841
rank: 8, epoch: 11.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.563, epoch time: 0.817
rank: 6, epoch: 11.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.574, epoch time: 0.827
rank: 2, epoch: 11.000, loss: 0.008, train_acc: 99.920, val_acc: 21.120, comp time: 0.572, epoch time: 0.826
rank: 4, epoch: 11.000, loss: 0.007, train_acc: 99.973, val_acc: 100.000, comp time: 0.576, epoch time: 0.830
