./data
./data
./data
./data
./data
./data
./data
./data
./data
./data
==> load train data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
==> load test data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
rank: 6, epoch: 0.000, loss: 0.044, train_acc: 98.293, val_acc: 100.000, comp time: 0.888, epoch time: 1.055
rank: 5, epoch: 0.000, loss: 0.044, train_acc: 98.293, val_acc: 100.000, comp time: 0.925, epoch time: 1.092
rank: 2, epoch: 0.000, loss: 0.041, train_acc: 99.920, val_acc: 100.000, comp time: 0.909, epoch time: 1.077
rank: 3, epoch: 0.000, loss: 0.046, train_acc: 98.293, val_acc: 100.000, comp time: 0.892, epoch time: 1.059
rank: 9, epoch: 0.000, loss: 0.047, train_acc: 98.293, val_acc: 100.000, comp time: 0.924, epoch time: 1.091
rank: 7, epoch: 0.000, loss: 0.042, train_acc: 98.293, val_acc: 100.000, comp time: 0.903, epoch time: 1.070
rank: 1, epoch: 0.000, loss: 0.041, train_acc: 98.293, val_acc: 100.000, comp time: 0.926, epoch time: 1.093
rank: 0, epoch: 0.000, loss: 0.042, train_acc: 98.293, val_acc: 100.000, comp time: 0.931, epoch time: 1.098
rank: 8, epoch: 0.000, loss: 0.048, train_acc: 98.293, val_acc: 100.000, comp time: 0.947, epoch time: 1.114
rank: 4, epoch: 0.000, loss: 0.046, train_acc: 98.293, val_acc: 100.000, comp time: 0.926, epoch time: 1.093
rank: 6, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.579, epoch time: 0.747
rank: 2, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.588, epoch time: 0.754
rank: 3, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.575, epoch time: 0.743
rank: 7, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.582, epoch time: 0.749
rank: 5, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.741
rank: 1, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.746
rank: 9, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.581, epoch time: 0.749
rank: 4, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.579, epoch time: 0.745
rank: 0, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.585, epoch time: 0.751
rank: 8, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.599, epoch time: 0.765
rank: 6, epoch: 2.000, loss: 0.216, train_acc: 96.427, val_acc: 32.000, comp time: 0.570, epoch time: 0.737
