./data
./data
./data
./data
./data
./data
./data
./data
./data
./data
==> load train data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
==> load test data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
rank: 5, epoch: 0.000, loss: 0.045, train_acc: 98.293, val_acc: 100.000, comp time: 0.881, epoch time: 0.935
rank: 9, epoch: 0.000, loss: 0.047, train_acc: 98.293, val_acc: 100.000, comp time: 0.890, epoch time: 0.944
rank: 1, epoch: 0.000, loss: 0.042, train_acc: 98.293, val_acc: 100.000, comp time: 0.897, epoch time: 0.953
rank: 7, epoch: 0.000, loss: 0.042, train_acc: 98.293, val_acc: 100.000, comp time: 0.870, epoch time: 0.927
rank: 3, epoch: 0.000, loss: 0.047, train_acc: 98.293, val_acc: 100.000, comp time: 0.882, epoch time: 0.938
rank: 2, epoch: 0.000, loss: 0.041, train_acc: 99.920, val_acc: 100.000, comp time: 0.869, epoch time: 0.928
rank: 8, epoch: 0.000, loss: 0.048, train_acc: 98.293, val_acc: 100.000, comp time: 0.884, epoch time: 0.941
rank: 6, epoch: 0.000, loss: 0.044, train_acc: 98.293, val_acc: 100.000, comp time: 0.888, epoch time: 0.948
rank: 4, epoch: 0.000, loss: 0.046, train_acc: 98.293, val_acc: 100.000, comp time: 0.900, epoch time: 0.962
rank: 0, epoch: 0.000, loss: 0.042, train_acc: 98.293, val_acc: 100.000, comp time: 0.893, epoch time: 0.952
rank: 5, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.569, epoch time: 0.619
rank: 9, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.577, epoch time: 0.629
rank: 1, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.575, epoch time: 0.630
rank: 7, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.569, epoch time: 0.621
rank: 3, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.578, epoch time: 0.631
rank: 2, epoch: 1.000, loss: 0.006, train_acc: 100.000, val_acc: 100.000, comp time: 0.569, epoch time: 0.623
rank: 8, epoch: 1.000, loss: 0.005, train_acc: 100.000, val_acc: 100.000, comp time: 0.573, epoch time: 0.627
