./data
./data
./data
./data
./data
./data
./data
./data
./data
./data
==> load train data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
==> load test data
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
rank: 3, epoch: 0.000, loss: 0.092, train_acc: 98.293, val_acc: 100.000, comp time: 1.364, epoch time: 1.457
rank: 7, epoch: 0.000, loss: 0.100, train_acc: 94.933, val_acc: 100.000, comp time: 1.360, epoch time: 1.453
rank: 2, epoch: 0.000, loss: 0.029, train_acc: 99.920, val_acc: 0.000, comp time: 1.327, epoch time: 1.419
rank: 6, epoch: 0.000, loss: 0.117, train_acc: 95.573, val_acc: 100.000, comp time: 1.356, epoch time: 1.451
rank: 1, epoch: 0.000, loss: 0.029, train_acc: 99.147, val_acc: 100.000, comp time: 1.400, epoch time: 1.496
rank: 9, epoch: 0.000, loss: 0.044, train_acc: 98.267, val_acc: 100.000, comp time: 1.400, epoch time: 1.490
rank: 5, epoch: 0.000, loss: 0.107, train_acc: 96.587, val_acc: 100.000, comp time: 1.430, epoch time: 1.526
rank: 8, epoch: 0.000, loss: 0.133, train_acc: 96.587, val_acc: 100.000, comp time: 1.374, epoch time: 1.469
rank: 0, epoch: 0.000, loss: 0.041, train_acc: 98.507, val_acc: 100.000, comp time: 1.385, epoch time: 1.481
rank: 4, epoch: 0.000, loss: 0.102, train_acc: 96.587, val_acc: 100.000, comp time: 1.386, epoch time: 1.480
rank: 3, epoch: 1.000, loss: 0.034, train_acc: 98.960, val_acc: 100.000, comp time: 1.132, epoch time: 1.225
rank: 7, epoch: 1.000, loss: 0.111, train_acc: 98.293, val_acc: 100.000, comp time: 1.124, epoch time: 1.216
rank: 2, epoch: 1.000, loss: 0.039, train_acc: 99.147, val_acc: 100.000, comp time: 1.110, epoch time: 1.201
rank: 6, epoch: 1.000, loss: 0.037, train_acc: 99.120, val_acc: 100.000, comp time: 1.126, epoch time: 1.217
rank: 9, epoch: 1.000, loss: 0.025, train_acc: 99.147, val_acc: 100.000, comp time: 1.126, epoch time: 1.213
rank: 1, epoch: 1.000, loss: 0.043, train_acc: 99.147, val_acc: 100.000, comp time: 1.134, epoch time: 1.227
rank: 5, epoch: 1.000, loss: 0.165, train_acc: 98.107, val_acc: 100.000, comp time: 1.162, epoch time: 1.254
rank: 8, epoch: 1.000, loss: 0.069, train_acc: 98.293, val_acc: 100.000, comp time: 1.119, epoch time: 1.209
rank: 0, epoch: 1.000, loss: 0.064, train_acc: 99.147, val_acc: 100.000, comp time: 1.132, epoch time: 1.223
rank: 4, epoch: 1.000, loss: 0.020, train_acc: 99.947, val_acc: 100.000, comp time: 1.126, epoch time: 1.216
rank: 3, epoch: 2.000, loss: 0.235, train_acc: 99.040, val_acc: 100.000, comp time: 1.129, epoch time: 1.222
rank: 2, epoch: 2.000, loss: 0.082, train_acc: 98.293, val_acc: 100.000, comp time: 1.099, epoch time: 1.188
rank: 7, epoch: 2.000, loss: 0.045, train_acc: 98.960, val_acc: 100.000, comp time: 1.119, epoch time: 1.212
rank: 6, epoch: 2.000, loss: 0.059, train_acc: 99.147, val_acc: 100.000, comp time: 1.123, epoch time: 1.215
rank: 9, epoch: 2.000, loss: 0.078, train_acc: 98.667, val_acc: 100.000, comp time: 1.120, epoch time: 1.213
rank: 5, epoch: 2.000, loss: 0.033, train_acc: 99.120, val_acc: 100.000, comp time: 1.153, epoch time: 1.246
